tool,label,run_params,db_params
bowtie2,bowtie2_endtoend_veryfast,--very-fast,
bowtie2,bowtie2_endtoend_fast,--fast,
bowtie2,bowtie2_default,--sensitive,
bowtie2,bowtie2_endtoend_verysensitive,--very-sensitive,
bowtie2,bowtie2_local_veryfast,--very-fast-local,
bowtie2,bowtie2_local_fast,--fast-local,
bowtie2,bowtie2_local_sensitive,--sensitive-local,
bowtie2,bowtie2_local_verysensitive,--very-sensitive-local,
blastn,blastn_megablast_longword,-task megablast -word_size 25,
blastn,blastn_megablast_default,-task megablast -word_size 28,
blastn,blastn_megablast_shortword,-task megablast -word_size 31,
blastn,blastn_blastn_longword,-task blastn -word_size 9,
blastn,blastn_blastn_default,-task blastn -word_size 11,
blastn,blastn_blastn_shortword,-task blastn -word_size 13,
bwa,bwa_lowscore_shortword,-T 10 -k 15,
bwa,bwa_defaultscore_shortword,-T 30 -k 15,
bwa,bwa_highscore_shortword,-T 50 -k 15,
bwa,bwa_lowscore_defaultword,-T 10 -k 19,
bwa,bwa_defaultscore_defaultword,-T 30 -k 19,
bwa,bwa_highscore_defaultword,-T 50 -k 19,
bwa,bwa_lowscore_longword,-T 10 -k 21,
bwa,bwa_defaultscore_longword,-T 30 -k 21,
bwa,bwa_highscore_longword,-T 50 -k 21,
groot,groot_lowk_lowthresh,--contThresh 0.90,--kmerSize 26
groot,groot_defaultk_lowthresh,--contThresh 0.90,--kmerSize 31
groot,groot_highk_lowthresh,--contThresh 0.90,--kmerSize 36
groot,groot_lowk_defaultthresh,--contThresh 0.99,--kmerSize 26
groot,groot_defaultk_defaultthresh,--contThresh 0.99,--kmerSize 31
groot,groot_highk_defaultthresh,--contThresh 0.99,--kmerSize 36
ariba,ariba_lownucmerid,--nucmer_min_id 80,
ariba,ariba_defaultnucmerid,--nucmer_min_id 90,
ariba,ariba_highnucmerid,--nucmer_min_id 95,
blastx,blastx_blastx_shortword,-task blastx -word_size 2,
blastx,blastx_blastx_defaultword,-task blastx -word_size 3,
blastx,blastx_blastx_longword,-task blastx -word_size 4,
blastx,blastx_blastxfast_shortword,-task blastx-fast -word_size 5,
blastx,blastx_blastxfast_defaultword,-task blastx-fast -word_size 6,
blastx,blastx_blastxfast_longword,-task blastx-fast -word_size 7,
diamond-blastx,diamond-blastx_default,,
diamond-blastx,diamond-blastx_sensitive,--sensitive,
diamond-blastx,diamond-blastx_moresensitive,--more-sensitive,
diamond-blastx,diamond-blastx_verysensitive,--very-sensitive,
diamond-blastx,diamond-blastx_ultrasensitive,--ultra-sensitive,
diamond-blastp,diamond-blastp_default,,
diamond-blastp,diamond-blastp_sensitive,--sensitive,
diamond-blastp,diamond-blastp_moresensitive,--more-sensitive,
diamond-blastp,diamond-blastp_verysensitive,--very-sensitive,
diamond-blastp,diamond-blastp_ultrasensitive,--ultra-sensitive,
blastp,blastp_default,-task blastp,
blastp,blastp_short,-task blastp-short,
blastp,blastp_fast,-task blastp-fast,
